Customer ID,Age,Annual Income (USD),Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
CUST0001,56.0,37449.15,Male,Dress,Clothing,57.64,Chicago,XL,Yellow,Fall,5.0,Yes,Standard,Yes,Yes,7.0,Credit Card,Monthly
CUST0002,46.0,86202.12,Female,Shoes,Footwear,57.69,Houston,XL,Blue,Spring,5.0,No,Express,No,Yes,12.0,Credit Card,Fortnightly
CUST0003,32.0,58895.84,Female,Shoes,Footwear,178.59,Miami,XL,White,Summer,4.0,No,Standard,Yes,Yes,7.0,Credit Card,Weekly
CUST0004,60.0,51913.67,Male,,Clothing,170.97,Houston  ,L,White,Summer,4.0,Yes,Express,No,No,11.0,Credit Card,Monthly
CUST0005,25.0,64578.89,male,Bag,Accessories,393.08,Miami,S,Black,Fall,5.0,No,Express,Yes,Yes,6.0,Credit Card,Weekly
CUST0006,38.0,41769.6,Female,Shoes,Footwear,228.96,Los Angeles,XL,Blue,Summer,4.0,No,Express,Yes,Yes,3.0,Credit Card,Monthly
CUST0007,56.0,68678.4,Male,Shirt,Clothing,137.15,Miami,L,Blue,Winter,5.0,No,Standard,No,No,12.0,Credit Card,Fortnightly
CUST0008,36.0,50779.68,Female,Shirt,Clothing,123.89,New York,S,Red,Spring,5.0,No,Express,No,No,7.0,Apple Pay,Fortnightly
CUST0009,40.0,61963.28,Female,Pants,Clothing,215.22,New York,XL,Red,Fall,5.0,Yes,Same-Day,Yes,No,4.0,Credit Card,Monthly
CUST0010,28.0,55710.98,Male,Bag,Accessories,86.32,New York,S,Black,Fall,4.0,Yes,Same-Day,No,Yes,4.0,PayPal,Monthly
CUST0011,28.0,42093.8,Male,Pants,Clothing,145.44,Chicago,XL,Green,,5.0,Yes,Standard,No,Yes,6.0,Credit Card,Monthly
CUST0012,41.0,67308.89,Male,Shoes,,342.25,Chicago,L,Yellow,Winter,5.0,No,Same-Day,Yes,No,5.0,PayPal,Fortnightly
CUST0013,53.0,110157.32,Male,Dress,Clothing,181.6,Chicago,M,Green,Summer,5.0,No,Same-Day,No,Yes,10.0,Credit Card,Fortnightly
CUST0014,57.0,58462.16,Female,Pants,Clothing,59.65,Miami,M,Green,Summer,5.0,Yes,Same-Day,Yes,No,12.0,Debit Card,Weekly
CUST0015,41.0,91713.84,Female,Jacket,Clothing,298.16,Chicago,S,Blue,Fall,5.0,Yes,Standard,Yes,Yes,9.0,Credit Card,Fortnightly
CUST0016,20.0,23702.93,Female,Shoes,Footwear,80.45,Los Angeles,L,Yellow,Summer,5.0,No,Standard,No,No,0.0,Apple Pay,Monthly
CUST0017,39.0,85596.08,Male,Dress,Clothing,356.0,New York,M,Blue,Spring,5.0,Yes,Same-Day,Yes,Yes,8.0,Credit Card,Weekly
CUST0018,19.0,49415.69,Female,Bag,Accessories,148.9,Miami,XL,Yellow,Summer,5.0,Yes,Standard,No,No,2.0,Debit Card,Fortnightly
CUST0019,41.0,25567.11,Male,Dress,Clothing,116.01,New York,M,White,Summer,5.0,No,Express,Yes,Yes,5.0,Google Pay,Fortnightly
CUST0020,61.0,54062.09,Male,Dress,Clothing,219.51,Chicago,S,Blue,Fall,5.0,No,Same-Day,,No,,Debit Card,Monthly
CUST0021,47.0,99426.8,Male,Pants,Clothing,63.02,Miami,S,Blue,Summer,4.0,Yes,Standard,No,Yes,12.0,Debit Card,Weekly
CUST0022,55.0,65939.09,Male,Jacket,Clothing,218.92,Houston,L,Blue,Winter,4.0,No,Standard,No,Yes,10.0,PayPal,Fortnightly
CUST0023,19.0,38711.46,Male,Dress,Clothing,131.41,Los Angeles,S,Black,Fall,5.0,Yes,Same-Day,No,Yes,3.0,Credit Card,Fortnightly
CUST0024,38.0,62920.3,Male,Shirt,Clothing,165.09,Chicago,M,Blue,Summer,5.0,No,Standard,No,No,10.0,Credit Card,Monthly
CUST0025,50.0,87164.74,Female,Shoes,Footwear,271.36,Chicago,M,Red,Spring,5.0,No,Same-Day,Yes,Yes,13.0,Google Pay,Weekly
CUST0026,29.0,52664.84,Male,Dress,Clothing,208.89,Los Angeles,M,Red,Spring,5.0,Yes,Standard,Yes,Yes,2.0,Credit Card,Weekly
CUST0027,39.0,98355.64,Female,Shirt,Clothing,141.63,Los Angeles,M,Yellow,Fall,4.0,Yess,Express,No,Yes,10.0,Apple Pay,Weekly
CUST0028,61.0,75088.42,Female,Dress,Clothing,228.98,Houston,L,White,Fall,5.0,Yes,Same-Day,Yes,No,14.0,Credit Card,Weekly
CUST0029,42.0,81752.05,Male,Jacket,Clothing,126.93,Chicago,XL,Black,Summer,4.0,No,Express,No,Yes,11.0,PayPal,Monthly
CUST0030,44.0,66762.46,Male,Pants,Unknown,108.82,Chicago,XL,Yellow,Winter,5.0,Yes,Same-Day,No,No,9.0,Debit Card,Fortnightly
CUST0031,59.0,60247.88,Male,Jacket,Clothing,147.97,New York,L,Red,Summer,5.0,No,Standard,Yes,Yes,11.0,Google Pay,Fortnightly
CUST0032,45.0,74186.05,Female,Pants,Clothing,-273.6,Miami,S,Black,Spring,5.0,No,Express,Yes,No,9.0,Debit Card,Weekly
